about | prep., adv. [อะเบาท์] | เกี่ยวกับ
dedicated | (adj.) C1 [เดดิแคทิด] | ที่ทุ่มเท
dedication | (n.) C1 [เดดิแคชัน] | การทุ่มเท
deed | (n.) C1 [ดีด] | การกระทำ
deem | (v.) C1 [ดีม] | ถือว่าคิดว่า
default | (n.) C1 [ดีฟอลต์] | การผิดนัด
defect | (n.) C1 [ดีเฟคต์] | ข้อบกพร่อง
defender | (n.) B2 [ดีเฟนเดอร์] | ผู้ป้องกัน
defensive | (adj.) C1 [ดีเฟนซีฟ] | ซึ่งป้องกัน
deficiency | (n.) C1 [ดีฟิเซนซี] | ขาดแคลน
deficit | (n.) C1 [เดฟิซิต] | การขาดดุล
defy | (v.) C1 [ดีไฟ] | ท้าทาย
delegate | (n.) C1 [เดลิเกต] | ผู้แทน
delegation | (n.) C1 [เดลิเกชัน] | การมอบหมาย
delete | (v.) B2 [ดีลีต] | ลบ
delicate | (adj.) C1 [เดลิเคท] | ละเอียดอ่อน
delighted | (adj.) B2 [ดีไลทิด] | ดีใจ
democracy | (n.) B2 [ดีโมเครซี] | ระบอบประชาธิปไตย
democratic | (adj.) B2 [ดีโมเครติก] | ซึ่งเกี่ยวกับประชาธิปไตย
demon | (n.) C1 [ดีมอน] | ปีศาจ
demonstration | (n.) B2 [เดมอนสเตรชัน] | การสาธิต
denial | (n.) C1 [ดีไนอัล] | การปฏิเสธ
denounce | (v.) C1 [ดีนาวน์ซ] | ประณาม
dense | (adj.) C1 [เดนซ์] | หนาแน่น
density | (n.) C1 [เดนซิทิ] | ความหนาแน่น
depart | (v.) B2 [ดีพาร์ท] | ออกเดินทาง
dependence | (n.) C1 [ดีเพนเดนซ์] | การพึ่งพา
dependent | (adj.) B2 [ดีเพนเดนท์] | ขึ้นอยู่กับ
depict | (v.) C1 [ดิพิคท์] | พรรณนา
deploy | (v.) C1 [ดีพลอย] | จัดระเบียบ
deployment | (n.) C1 [ดีพลอยเมนต์] | การจัดระเบียบ
deposit | (n., v.) B2 [ดีพอซิต] | เงินฝาก, ฝาก
depression | (n.) B2 [ดีเพรสชั่น] | ความเครียด
deprive | (v.) C1 [ดีพไรฟ์] | ปล้น
deputy | (n.) C1 [เดพิวที] | รอง
derive | (v.) B2 [ดีรีฟ] | ได้รับ
descend | (v.) C1 [ดีเซนด์] | ลงมา
descent | (n.) C1 [ดีเซนต์] | การลงมา
designate | (v.) C1 [ดีซิเนท] | แต่งตั้ง
desirable | (adj.) C1 [ดีไซราบล] | ที่ต้องการ
desktop | (n.) C1 [เดสก์ท็อป] | คอมพิวเตอร์ตั้งโต๊ะ
desperately | (adv.) B2 [เดสเปอร์เรตลี่] | อย่างหมดหวัง
destruction | (n.) B2 [ดิสทรักชัน] | การทำลาย
destructive | (adj.) C1 [ดิสทรักทีฟ] | ซึ่งทำลาย
detain | (v.) C1 [ดีเทน] | กักตัว
detection | (n.) C1 [ดีเทคชั่น] | การตรวจจับ
detention | (n.) C1 [ดีเทนชัน] | การกักตัว
deteriorate | (v.) C1 [ดีเทอริเออเรท] | เสื่อมโทรม
determination | (n.) B2 [ดีเทอร์มิเนชัน] | ความตั้งใจ
devastate | (v.) C1 [เดฟเวอส์เทท] | ทำลายล้าง
devil | (n.) C1 [เดวิล] | ปีศาจ
devise | (v.) C1 [ดีไวซ์] | วางแผน
devote | (v.) B2 [ดีโวท] | อุทิศ
diagnose | (v.) C1 [ไดแอกโนส] | วินิจฉัย
diagnosis | (n.) C1 [ไดแอกโนซิส] | การวินิจฉัย
dictate | (v.) C1 [ดิคเทท] | สั่งการ
dictator | (n.) C1 [ดิคเทเทอร์] | ผู้ปกครองเผด็จการ
differ | (v.) B2 [ดิฟเฟอร์] | แตกต่าง
differentiate | (v.) C1 [ดิฟเฟอเรนเชียท] | แยกแยะ
dignity | (n.) C1 [ดิกนิตี้] | เกียรติ
dilemma | (n.) C1 [ดีเล็มมา] | สถานการณ์ที่ลำบาก
dime | (n.) B2 [ไดม์] | เหรียญสิบเซ็นต์
dimension | (n.) C1 [ดิเมนชัน] | มิติ
diminish | (v.) C1 [ดีมิช] | ลดลง
dip | (v.) C1 [ดิป] | จุ่ม
diplomat | (n.) C1 [ดิปโลแมท] | นักการทูต
diplomatic | (adj.) C1 [ดิปโลแมติก] | เกี่ยวกับการทูต
directory | (n.) C1 [ไดเร็กทอรี] | สมุดรายชื่อ
disability | (n.) B2 [ดิสแอบิลิตี้] | ความพิการ
disabled | (adj.) B2 [ดิสเอเบิลด์] | ที่มีความพิการ
disagreement | (n.) B2 [ดิสอะกรีเมนต์] | ความไม่เห็นด้วย
disappoint | (v.) B2 [ดิสอะพอยน์ท] | ทำให้ผิดหวัง
disappointment | (n.) B2 [ดิสอะพอยน์ทเมนต์] | ความผิดหวัง
disastrous | (adj.) C1 [ดิแซสทรูส] | ที่เกิดภัยพิบัติ
discard | (v.) C1 [ดิสคาร์ด] | ทิ้ง
discharge | (v.) C1 [ดิชาร์จ] | ปล่อย
disclose | (v.) C1 [ดิสโคลส] | เปิดเผย
disclosure | (n.) C1 [ดิสโคลเจอร์] | การเปิดเผย
discourage | (v.) B2 [ดิสคอเรจ] | ทำให้ท้อ
discourse | (n.) C1 [ดิสคอร์ส] | การสนทนา
discretion | (n.) C1 [ดิสเครชัน] | การใช้ดุลพินิจ
discrimination | (n.) C1 [ดิสครีมิเนชัน] | การเลือกปฏิบัติ
dismissal | (n.) C1 [ดิสมิซซัล] | การไล่ออก
disorder | (n.) B2 [ดิสออร์เดอร์] | ความผิดปกติ
displace | (v.) C1 [ดิสเพลซ] | ขับไล่
disposal | (n.) C1 [ดิสโพซัล] | การกำจัด
dispose | (v.) C1 [ดิสโพซ] | จัดการ
dispute | (n., v.) C1 [ดิสพิวท] | ข้อพิพาท, โต้แย้ง
disrupt | (v.) C1 [ดิสรับท์] | ทำให้ยุ่งเหยิง
disruption | (n.) C1 [ดิสรับชัน] | การรบกวน
dissolve | (v.) C1 [ดิสซอล์ฟ] | ละลาย
distant | (adj.) B2 [ดิสแทนท์] | ไกล
distinct | (adj.) B2 [ดิพสติงค์ท] | ชัดเจน
distinction | (n.) C1 [ดิพสติงค์ชัน] | ความแตกต่าง
distinctive | (adj.) C1 [ดิพสติงทีฟ] | ที่เป็นเอกลักษณ์
distinguish | (v.) B2 [ดิสติงวิช] | แยกแยะ
distort | (v.) C1 [ดิสทอร์ท] | บิดเบือน
distract | (v.) B2 [ดิสแทรคท์] | ทำให้รบกวน
distress | (n., v.) C1 [ดิสเตรส] | ความเครียด, ทำให้เครียด
disturb | (v.) B2 [ดิสเทิร์บ] | รบกวน
disturbing | (adj.) C1 [ดิสเทิร์บิง] | ที่รบกวน
dive | (v., n.) B2 [ไดฟ์] | ดำน้ำ, การดำน้ำ
diverse | (adj.) B2 [ไดเวิร์ส] | หลากหลาย
diversity | (n.) B2 [ไดเวอร์ซิตี้] | ความหลากหลาย
divert | (v.) C1 [ไดเวิร์ท] | เบี่ยงเบน
divine | (adj.) C1 [ดีไวน] | เทพ
divorce | (n., v.) B2 [ดีวอร์ซ] | การหย่าร้าง, หย่าร้าง
doctrine | (n.) C1 [ดอคทรีน] | หลักการ
documentation | (n.) C1 [ด็อคคิวเมนเทชัน] | เอกสาร
domain | (n.) C1 [โดเมน] | ขอบเขต
dominance | (n.) C1 [ดอมมินานซ์] | การมีอำนาจเหนือ
dominant | (adj.) B2 [ดอมมินันท์] | ซึ่งมีอำนาจเหนือ
donation | (n.) B2 [โดเนชัน] | การบริจาค
donor | (n.) C1 [โดโน] | ผู้บริจาค
dose | (n.) C1 [โดส] | ปริมาณยา
dot | (n.) B2 [ดอท] | จุด
drain | (v.) C1 [เดรน] | ระบาย
dramatically | (adv.) B2 [ดรามาติกัลลี่] | อย่างมาก
drift | (v.) C1 [ดริฟท์] | ลอย
driving | (adj.) C1 [ดรายวิ่ง] | ซึ่งเกี่ยวกับการขับขี่
drought | (n.) B2 [ดราวท์] | ภัยแล้ง
drown | (v.) C1 [ดราวน์] | จมน้ำ
dual | (adj.) C1 [ดูแอล] | คู่
dub | (v.) C1 [ดั๊บ] | ตั้งชื่อ
dull | (adj.) B2 [ดัล] | น่าเบื่อ
dumb | (adj.) C1 [ดัมบ์] | โง่
dump | (v.) B2 [ดัมพ์] | ทิ้ง
duo | (n.) C1 [ดูโอ] | คู่
duration | (n.) B2 [ดูเรชัน] | ระยะเวลา
dynamic | (adj.) B2, (n.) C1 [ไดนาไมก] | เคลื่อนไหว, ความเคลื่อนไหว
eager | (adj.) B2 [อีเกอ] | กระตือรือร้น
earnings | (n.) C1 [เอิร์นนิงส์] | รายได้
ease | (n., v.) C1 [อีส] | ความสะดวก, ทำให้สะดวก
echo | (v., n.) C1 [เอกโก] | สะท้อน, เสียงสะท้อน
ecological | (adj.) C1 [อีโคโลจิคัล] | เกี่ยวกับนิเวศวิทยา
economics | (n.) B2 [อีโคโนมิคส์] | เศรษฐศาสตร์
economist | (n.) B2 [อีโคโนมิสต์] | นักเศรษฐศาสตร์
editorial | (adj.) B2 [เอ็ดดิทอเรียล] | ที่เป็นบรรณาธิการ
educator | (n.) C1 [เอจูเคเตอร์] | ผู้สอน
effectiveness | (n.) C1 [อีเฟคทิเวเนส] | ประสิทธิภาพ
efficiency | (n.) C1 [อีฟิชเชียนซี] | ประสิทธิผล
efficiently | (adv.) B2 [อีฟิชเชียนทลี่] | อย่างมีประสิทธิภาพ
ego | (n.) C1 [อีโก] | อีโก
elaborate | (adj.) C1 [อิลาบอเรท] | ซับซ้อน
elbow | (n.) B2 [เอลโบ] | ข้อศอก
electoral | (adj.) C1 [อิเล็คทอรีล] | เกี่ยวกับการเลือกตั้ง
electronics | (n.) B2 [อิเล็คทรอนิกส์] | อิเล็กทรอนิกส์
elegant | (adj.) B2 [เอลิแกนท์] | งดงาม
elementary | (adj.) B2 [เอลิเมนทารี] | เบื้องต้น
elevate | (v.) C1 [เอลิเฝท] | ยก
eligible | (adj.) C1 [เอลิจิเบิล] | ซึ่งมีสิทธิ์
eliminate | (v.) B2 [อิลิมิเนท] | ขจัด
elite | (n.) C1 [อีลีท] | ชนชั้นนำ
embark | (v.) C1 [เอ็มบาร์ค] | เริ่มต้น
embarrassment | (n.) C1 [เอ็มบาร์ราสเมนต์] | ความอับอาย
embassy | (n.) C1 [เอ็มบาสซี] | สถานทูต
embed | (v.) C1 [เอ็มเบด] | ฝัง
embody | (v.) C1 [เอ็มบอดี] | เป็นตัวแทน
embrace | (v.) B2 [เอ็มเบรซ] | ยอมรับ
emergence | (n.) C1 [อิมเมอร์เจนซ์] | การเกิดขึ้น
emission | (n.) B2 [อิมมิชชัน] | การปล่อย
emotionally | (adv.) B2 [อีโมชันนัลลี่] | อย่างทางอารมณ์
empire | (n.) B2 [เอ็มไพร์] | จักรวรรดิ
empirical | (adj.) C1 [เอ็มพิริคัล] | ซึ่งอิงจากประสบการณ์
empower | (v.) C1 [เอ็มพาวเวอร์] | มอบอำนาจ
enact | (v.) C1 [อีนแอคท์] | ออกกฎหมาย
encompass | (v.) C1 [เอ็นคอมพัส] | รวมถึง
encouragement | (n.) C1 [เอ็นคอเรจเมนต์] | การสนับสนุน
encouraging | (adj.) C1 [เอ็นคอเรจจิง] | ซึ่งกระตุ้น
endeavor | (n.) C1 [เอนเดเวอร์] | ความพยายาม
endless | (adj.) C1 [เอนด์เลส] | ไม่มีที่สิ้นสุด
endorse | (v.) C1 [เอนดอร์ส] | สนับสนุน
endorsement | (n.) C1 [เอนดอร์สเมนต์] | การสนับสนุน
endure | (v.) C1 [เอนเดอร์] | ทนทาน
enforce | (v.) C1 [เอ็นฟอร์ซ] | บังคับใช้
enforcement | (n.) C1 [เอ็นฟอร์ซเมนต์] | การบังคับใช้
engagement | (n.) C1 [เอนเกจเมนต์] | การมีส่วนร่วม
engaging | (adj.) C1 [เอนเกจจิง] | น่าสนใจ
enjoyable | (adj.) B2 [เอนจอยเเบิล] | ซึ่งสนุก
enrich | (v.) C1 [เอนริช] | ทำให้ร่ำรวย
enroll | (v.) C1 [เอ็นโรล] | ลงทะเบียน
ensue | (v.) C1 [เอนซู] | ตามมา
enterprise | (n.) C1 [เอนเทอร์ไพรส์] | การลงทุน
entertaining | (adj.) B2 [เอนเทอร์เทนนิ่ง] | ซึ่งบันเทิง
enthusiast | (n.) C1 [เอ็นธูเซียสท์] | ผู้ที่มีความกระตือรือร้น
entitle | (v.) C1 [เอนไทเทิล] | ให้สิทธิ์
entity | (n.) C1 [เอนทิตี้] | สิ่งที่มีอยู่
entrepreneur | (n.) B2 [อองโตรพรีเนอร์] | ผู้ประกอบการ
envelope | (n.) B2 [เอ็นเวลโลป] | ซองจดหมาย
epidemic | (n.) C1 [อีพิดีมิค] | การระบาด
equality | (n.) C1 [อีควอลิตี้] | ความเท่าเทียม
equation | (n.) C1 [อิคเวชั่น] | สมการ
equip | (v.) B2 [อีควิพ] | เตรียมพร้อม
equivalent | (n., adj.) B2 [อิควิลเลนต์] | เทียบเท่า
era | (n.) B2 [เออรา] | ยุค
erect | (v.) C1 [อิเร็กต์] | ตั้งขึ้น
erupt | (v.) B2 [อีรัพท์] | ปะทุ
escalate | (v.) C1 [เอสคาเลท] | ทวีความรุนแรง
essence | (n.) C1 [เอสเซนซ์] | สาระสำคัญ
essentially | (adv.) B2 [อีเซนเชียลลี่] | โดยพื้นฐาน
establishment | (n.) C1 [เอสทาบลิชเมนต์] | การก่อตั้ง
eternal | (adj.) C1 [อีเทิร์นัล] | นิรันดร์
ethic | (n.) B2 [เอธิก] | จรรยาบรรณ
ethnic | (adj.) B2 [เอธนิค] | เชื้อชาติ
evacuate | (v.) C1 [อีวาคูเอต] | อพยพ
evaluation | (n.) B2 [อีวาลูเอชัน] | การประเมิน
evident | (adj.) B2 [เอวิดเดนท์] | ชัดเจน
evoke | (v.) C1 [อีโวค] | กระตุ้น
evolution | (n.) B2 [อีโวลูชัน] | การวิวัฒนาการ
evolutionary | (adj.) C1 [อีโวลูชันนารี] | เกี่ยวกับการวิวัฒนาการ
evolve | (v.) B2 [อีโวลว์] | พัฒนา
exaggerate | (v.) C1 [อิกแซเจอเรต] | เกินจริง
exceed | (v.) B2 [อิกซีด] | เกิน
excellence | (n.) C1 [เอกเซลเลนซ์] | ความยอดเยี่ยม
exception | (n.) B2 [เอ็กเซพชั่น] | ข้อยกเว้น
exceptional | (adj.) C1 [เอ็กเซพชั่นนัล] | ที่ไม่ธรรมดา
excess | (n., adj.) C1 [เอ็กเซส] | ความมากเกินไป
excessive | (adj.) B2 [เอ็กเซสซีฟ] | มากเกินไป
exclude | (v.) B2 [เอ็กซคลูด] | ขับออก
exclusion | (n.) C1 [เอ็กซคลูชั่น] | การขับออก
exclusive | (adj.) C1 [เอ็กซคลูซีฟ] | พิเศษ
exclusively | (adv.) C1 [เอ็กซคลูซีฟลี่] | โดยเฉพาะ
execute | (v.) C1 [เอ็กซีคิวท์] | ดำเนินการ
execution | (n.) C1 [เอ็กซีคิวชั่น] | การดำเนินการ
exert | (v.) C1 [เอ็กเซิร์ท] | ใช้
exile | (n.) C1 [เอ็กไซล์] | การเนรเทศ
exotic | (adj.) B2 [เอ็กซอติก] | แปลกใหม่
expansion | (n.) B2 [เอ็กซ์แพนชัน] | การขยาย
expedition | (n.) B2 [เอ็กซ์เพดิชัน] | การสำรวจ
expenditure | (n.) C1 [เอ็กซ์เพนดิชเชอร์] | ค่าใช้จ่าย
experimental | (adj.) C1 [เอ็กซ์เพอรีเมนทัล] | ซึ่งทดลอง
expertise | (n.) B2 [เอ็กซ์เพอรีทีซ] | ความเชี่ยวชาญ
expire | (v.) C1 [เอ็กซ์พายร์] | หมดอายุ
explicit | (adj.) C1 [เอ็กซ์พลิซิต] | ชัดเจน
explicitly | (adv.) C1 [เอ็กซ์พลิซิตลี่] | อย่างชัดเจน
exploit | (v.) B2 [เอ็กซ์พลอยท์] | ใช้ประโยชน์
exploitation | (n.) C1 [เอ็กซ์พลอยเทชั่น] | การใช้ประโยชน์
explosive | (adj., n.) C1 [เอ็กซ์พลอสซีฟ] | ระเบิด, วัตถุระเบิด
exposure | (n.) B2 [เอ็กซ์โพเชอร์] | การเปิดเผย
extension | (n.) B2 [เอ็กซ์เทนชัน] | การขยาย
extensive | (adj.) B2 [เอ็กซ์เทนซีฟ] | กว้างขวาง
extensively | (adv.) B2 [เอ็กซ์เทนซีฟลี่] | อย่างกว้างขวาง
extract | (n., v.) C1 [เอ็กซ์แทรกต์] | สารสกัด, สกัด
extremist | (n.) C1 [เอ็กซ์ตรีมิสต์] | ผู้สุดโต่ง
fabric | (n.) B2 [แฟบริค] | ผ้า
fabulous | (adj.) B2 [แฟบูลัส] | ยอดเยี่ยม
facilitate | (v.) C1 [ฟาซิลิเทท] | อำนวยความสะดวก
faction | (n.) C1 [แฟคชั่น] | กลุ่ม
faculty | (n.) B2 [แฟคัลตี] | คณาจารย์
fade | (v.) C1 [เฟด] | จางหาย
failed | (adj.) B2 [เฟล] | ล้มเหลว
fairness | (n.) C1 [แฟร์เนส] | ความยุติธรรม
fake | (adj.) B2 [เฟค] | ปลอม
fame | (n.) B2 [เฟม] | ชื่อเสียง
fantasy | (n.) B2 [แฟนตาซี] | จินตนาการ
fare | (n.) B2 [แฟร์] | ค่าตั๋ว
fatal | (adj.) C1 [เฟเทิล] | ซึ่งทำให้ถึงตาย
fate | (n.) C1 [เฟท] | ชะตากรรม
favorable | (adj.) C1 [เฟเวอเรเบิล] | ที่ดี
feat | (n.) C1 [ฟีท] | ความสำเร็จ
felony | (n.) C1 [เฟลโลนี] | อาชญากรรมร้ายแรง
feminist | (adj., n.) C1 [เฟมินิสต์] | ผู้สนับสนุนสิทธิสตรี
fiber | (n.) C1 [ไฟเบอร์] | ใย
fierce | (adj.) C1 [ฟีร์ซ] | รุนแรง
filmmaker | (n.) C1 [ฟิล์มเมคเกอร์] | ผู้สร้างภาพยนตร์
filter | (n., v.) C1 [ฟิลเตอร์] | ตัวกรอง, กรอง
fine | (n., v.) C1 [ไฟน์] | ดี, ปรับเงิน
firearm | (n.) C1 [ไฟร์อาร์ม] | อาวุธปืน
firefighter | (n.) B2 [ไฟร์ไฟท์เตอร์] | นักผจญเพลิง
firework | (n.) B2 [ไฟร์เวิร์ค] | ดอกไม้ไฟ
firm | (adj.) B2 [เฟิร์ม] | แข็งแกร่ง
firmly | (adv.) B2 [เฟิร์มลี่] | อย่างมั่นคง
fiscal | (adj.) C1 [ฟิสคัล] | เกี่ยวกับการเงิน
fit | (n.) C1 [ฟิต] | ความเหมาะสม
flavor | (n.) B2 [เฟลเวอร์] | รสชาติ
flaw | (n.) C1 [ฟลอ] | ข้อบกพร่อง
flawed | (adj.) C1 [ฟลอว์ด] | มีข้อบกพร่อง
flee | (v.) C1 [ฟลี] | หนี
fleet | (n.) C1 [ฟลีท] | ฝูงเรือ
flesh | (n.) C1 [เฟลช] | เนื้อ
flexibility | (n.) C1 [ฟเล็กซิบิลิตี้] | ความยืดหยุ่น
flourish | (v.) C1 [ฟลาวริช] | เจริญรุ่งเรือง
fluid | (n.) C1 [ฟลูอิด] | ของเหลว
fond | (adj.) B2 [ฟอนด์] | รัก
fool | (n.) B2 [ฟูล] | คนโง่
footage | (n.) C1 [ฟูเทจ] | บทบันทึก
forbid | (v.) B2 [ฟอร์บิด] | ห้าม
forecast | (n., v.) B2 [ฟอร์แคสต์] | การคาดการณ์, คาดการณ์
foreigner | (n.) C1 [ฟอเรนเนอร์] | ชาวต่างชาติ
forge | (v.) C1 [ฟอร์จ] | ปลอมแปลง
format | (n.) B2 [ฟอร์แมท] | รูปแบบ
formation | (n.) B2 [ฟอร์เมชัน] | การก่อตัว
formerly | (adv.) B2 [ฟอร์มเลอรี] | แต่ก่อน
formula | (n.) C1 [ฟอร์มูล่า] | สูตร
formulate | (v.) C1 [ฟอร์มิวเลท] | วางแผน
forth | (adv.) C1 [ฟอร์ธ] | ไปข้างหน้า
forthcoming | (adj.) C1 [ฟอร์ธคัมมิง] | ที่จะมาถึง
fortunate | (adj.) B2 [ฟอร์ชูเนท] | โชคดี
forum | (n.) B2 [ฟอรัม] | เวทีอภิปราย
fossil | (n.) B2 [ฟอสซิล] | ฟอสซิล
foster | (v.) C1 [ฟอสเตอร์] | สนับสนุน
foundation | (n.) B2 [ฟาวน์เดชั่น] | มูลนิธิ
founder | (n.) B2 [ฟาวน์เดอร์] | ผู้ก่อตั้ง
fraction | (n.) B2 [แฟรกชัน] | เศษส่วน
fragile | (adj.) C1 [แฟรจไจล์] | เปราะบาง
fragment | (n.) B2 [แฟร็กเมนต์] | ชิ้นส่วน
framework | (n.) B2 [เฟรมเวิร์ค] | โครงสร้าง
franchise | (n.) C1 [แฟรนไชส์] | สิทธิพิเศษ
frankly | (adv.) C1 [แฟรงคลี่] | อย่างตรงไปตรงมา
fraud | (n.) B2 [ฟรอด] | การฉ้อโกง
freely | (adv.) B2 [ฟรีลี่] | อย่างอิสระ
frequent | (adj.) B2 [ฟรีควินท์] | บ่อยครั้ง
freshman | (n.) C1 [เฟรชแมน] | นักเรียนปีแรก
frustrated | (adj.) C1 [ฟรัสเตรทิด] | รู้สึกหงุดหงิด
frustrating | (adj.) C1 [ฟรัสเตรติง] | ซึ่งทำให้หงุดหงิด
frustration | (n.) C1 [ฟรัสเตรชัน] | ความหงุดหงิด
fulfill | (v.) B2 [ฟูลฟิลล์] | ทำให้บรรลุ
fulltime | (adj./adv.) B2 [ฟูลไทม์] | เต็มเวลา
functional | (adj.) C1 [ฟังก์ชันนัล] | ใช้งานได้
fundamentally | (adv.) B2 [ฟันดาเมนทัลลี่] | โดยพื้นฐาน
fundraising | (n.) C1 [ฟันด์เรสซิ่ง] | การระดมทุน
funeral | (n.) C1 [ฟูนERAL] | งานศพ
furious | (adj.) B2 [ฟูเรียส] | โกรธจัด
gallon | (n.) B2 [แกลลอน] | แกลลอน
gambling | (n.) C1 [แกมบลิง] | การพนัน
gaming | (n.) B2 [เกมมิ่ง] | การเล่นเกม
gathering | (n.) C1 [แกธเลอริง] | การรวมตัว
gay | (adj.) B2 [เกย์] | เกย์
gaze | (n., v.) C1 [เกซ] | การจ้องมอง, จ้องมอง
gear | (n.) C1 [เกียร์] | อุปกรณ์
gender | (n.) B2 [เจนเดอร์] | เพศ
gene | (n.) B2 [ยีน] | ยีน
generic | (adj.) C1 [เจเนอริก] | ทั่วไป
genetic | (adj.) B2 [เจเนติก] | เกี่ยวกับพันธุกรรม
genius | (n.) B2 [จีนิอัส] | อัจฉริยะ
genocide | (n.) C1 [เจนโนไซด์] | การฆ่าล้างเผ่าพันธุ์
genuine | (adj.) B2 [เจนยูอิน] | แท้
genuinely | (adv.) B2 [เจนยูอินลี่] | อย่างแท้จริง
gesture | (n.) B2 [เจสเจอร์] | การแสดงท่าทาง
gig | (n.) C1 [กิ๊ก] | งานแสดง
glance | (n., v.) C1 [กลานซ์] | การชำเลืองมอง, ชำเลืองมอง
glimpse | (n.) C1 [กลิมพส์] | การมองแวบเดียว
globalization | (n.) B2 [โกลบอลไลเซชั่น] | โลกาภิวัตน์
globe | (n.) B2 [โกลบ] | โลก
glorious | (adj.) C1 [กลอเรียส] | สง่างาม
glory | (n.) C1 [กลอรี] | ความรุ่งโรจน์
golden | (adj.) B2 [โกลเด้น] | สีทอง
goodness | (n.) B2 [กูดเนส] | ความดี
gorgeous | (adj.) B2 [กอเจียส] | สวยงาม
governance | (n.) C1 [กอฟเวอร์แนนซ์] | การปกครอง
grace | (n.) C1 [เกรซ] | ความสง่างาม
graphic | (adj.) B2 [กราฟฟิค] | ซึ่งเป็นภาพ
graphics | (n.) B2 [กราฟฟิคส์] | กราฟิก
grasp | (v., n.) C1 [กราสพ] | จับ, การจับ
grave (for dead person) | (n.) C1 [เกรฟ] | หลุมศพ
grave (serious) | (adj.) C1 [เกรฟ] | ที่ร้ายแรง
gravity | (n.) C1 [แกรวิตี้] | แรงดึงดูด
greatly | (adv.) B2 [เกรทลี่] | อย่างมาก
greenhouse | (n.) B2 [กรีนเฮาส์] | โรงเรือนปลูกพืช
grid | (n.) C1 [กริด] | ตาข่าย
grief | (n.) C1 [กรีฟ] | ความเศร้า
grin | (v., n.) C1 [กริน] | ยิ้มกว้าง, การยิ้มกว้าง
grind | (v.) C1 [กรินด์] | บด
grip | (n., v.) C1 [กริป] | การจับ, จับ
gross | (adj.) C1 [กรอส] | รวม
guerrilla | (n.) C1 [เกอริลลา] | กองโจร
guidance | (n.) C1 [ไกด์เดนซ์] | การชี้แนะ
guideline | (n.) B2 [ไกด์ไลน์] | แนวทาง
guilt | (n.) C1 [กิลต์] | ความรู้สึกผิด
gut | (n.) C1 [กัท] | ลำไส้
habitat | (n.) B2 [แฮบิแทท] | ถิ่นที่อยู่
hail | (v.) C1 [เฮล] | ทักทาย, หยาดน้ำแข็ง
halfway | (adv.) C1 [ฮาล์ฟเวย์] | ครึ่งทาง
halt | (v., n.) C1 [ฮอลต์] | หยุด, การหยุด
handful | (n.) C1 [แฮนด์ฟูล] | จำนวนเล็กน้อย
handling | (n.) C1 [แฮนด์ลิง] | การจัดการ
handy | (adj.) C1 [แฮนด์ดี] | ใช้งานสะดวก
harassment | (n.) C1 [แฮราสเมนต์] | การล่วงละเมิด
harbor | (n.) B2 [ฮาร์เบอร์] | ท่าเรือ
hardware | (n.) C1 [ฮาร์ดแวร์] | ฮาร์ดแวร์
harmony | (n.) C1 [ฮาร์มอนี] | ความกลมกลืน
harsh | (adj.) C1 [ฮาร์ช] | รุนแรง
harvest | (n., v.) C1 [ฮาร์เวสท] | การเก็บเกี่ยว, เก็บเกี่ยว
hatred | (n.) C1 [เฮทเรด] | ความเกลียดชัง
haunt | (v.) C1 [ฮอนต์] | ตามหลอกหลอน
hazard | (n.) C1 [แฮซซาร์ด] | อันตราย
headquarters | (n.) B2 [เฮดควอเตอร์ส] | สำนักงานใหญ่
heal | (v.) B2 [ฮีล] | ฟื้นฟู
healthcare | (n.) B2 [เฮลธ์แคร์] | การดูแลสุขภาพ
heighten | (v.) C1 [ไฮเทน] | เพิ่มขึ้น
helmet | (n.) B2 [เฮลเมท] | หมวกกันน็อก
hence | (adv.) B2 [เฮนซ์] | ดังนั้น
herb | (n.) B2 [เฮิร์บ] | สมุนไพร
heritage | (n.) C1 [เฮอริเทจ] | มรดก
hidden | (adj.) B2 [ฮิดเดน] | ซ่อนเร้น
hierarchy | (n.) C1 [ไฮอาร์คี] | ลำดับชั้น
highprofile | (adj.) C1 [ไฮ-โปรไฟล์] | ที่มีโปรไฟล์สูง
hilarious | (adj.) B2 [ฮิลาเรียส] | ตลกขบขัน
hint | (n., v.) C1 [ฮินต์] | คำใบ้, ใบ้ให้
hip | (n.) B2 [ฮิป] | สะโพก
historian | (n.) B2 [ฮิสโตเรียน] | นักประวัติศาสตร์
homeland | (n.) C1 [โฮมแลนด์] | บ้านเกิด
homeless | (adj.) B2 [โฮมเลส] | ไร้บ้าน
honesty | (n.) B2 [ออนเนสตี้] | ความซื่อสัตย์
honey | (n.) B2 [ฮันนี่] | น้ำผึ้ง
hook | (n., v.) B2 [ฮุค] | ตะขอ, ใช้ตะขอ
hopeful | (adj.) C1 [โฮพฟูล] | มีความหวัง
hopefully | (adv.) B2 [โฮพฟูลลี่] | ด้วยความหวัง
horizon | (n.) C1 [ฮอไรซัน] | ขอบฟ้า
horn | (n.) C1 [ฮอร์น] | เขา
hostage | (n.) C1 [ฮอสเทจ] | ตัวประกัน
hostile | (adj.) C1 [ฮอสไทล์] | เป็นศัตรู
hostility | (n.) C1 [ฮอสทิลิตี้] | ความเป็นศัตรู
humanitarian | (adj.) C1 [ฮิวแมนนาเทอเรียน] | มนุษยธรรม
